City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nemuro,43.3236,145.575,264.25,75,51,1.61,JP,1675459617
1,san patricio,28.017,-97.5169,288.8,55,5,3.4,US,1675459617
2,busselton,-33.65,115.3333,292.51,60,0,5.72,AU,1675459618
3,jamestown,42.097,-79.2353,260.77,84,100,9.26,US,1675459385
4,jijiga,9.35,42.8,289.9,65,8,4.81,ET,1675459618
5,gat,31.61,34.7642,285.59,100,14,2.56,IL,1675459445
6,port alfred,-33.5906,26.891,293.25,92,60,0.89,ZA,1675459619
7,vila franca do campo,37.7167,-25.4333,288.38,89,44,3.81,PT,1675459619
8,luanda,-8.8368,13.2343,300.15,78,40,5.14,AO,1675459620
9,nelson bay,-32.7167,152.15,294.32,51,0,5.36,AU,1675459621
10,tuatapere,-46.1333,167.6833,296.79,62,3,2.23,NZ,1675459532
11,mataura,-46.1927,168.8643,295.57,70,11,1.64,NZ,1675459397
12,albany,42.6001,-73.9662,257.95,48,75,8.05,US,1675459371
13,wao,7.6833,124.6833,289.44,71,70,1.24,PH,1675459623
14,cidreira,-30.1811,-50.2056,298.02,82,100,1.39,BR,1675459625
15,bandar-e lengeh,26.5579,54.8807,292.21,82,0,2.06,IR,1675459625
16,brodokalmak,55.5748,62.082,255.87,88,10,2.68,RU,1675459626
17,los llanos de aridane,28.6585,-17.9182,288.01,72,20,4.02,ES,1675459628
18,port macquarie,-31.4333,152.9167,293.93,47,0,6.18,AU,1675459597
19,graaff-reinet,-32.2522,24.5308,292.55,85,32,1.38,ZA,1675459629
20,lazaro cardenas,17.9583,-102.2,302.03,48,0,4.58,MX,1675459629
21,kapaa,22.0752,-159.319,297.14,92,100,8.75,US,1675459630
22,cape town,-33.9258,18.4232,295.03,68,0,5.81,ZA,1675459461
23,rogers,36.3668,-95.5836,280.99,40,0,3.6,US,1675459632
24,hobart,-42.8794,147.3294,285.52,93,75,3.09,AU,1675459633
25,petropavlovsk-kamchatskiy,53.0452,158.6483,264.48,57,75,2.0,RU,1675459600
26,barra do garcas,-15.89,-52.2567,294.47,100,75,0.0,BR,1675459636
27,maputo,-25.9653,32.5892,294.97,83,75,4.63,MZ,1675459637
28,seoul,37.5683,126.9778,267.84,78,40,1.03,KR,1675459638
29,mlonggo,-6.5333,110.7,299.47,85,100,5.35,ID,1675459639
30,puro,12.4841,123.3827,298.0,83,99,5.86,PH,1675459639
31,guerrero negro,27.9769,-114.0611,293.91,31,100,3.37,MX,1675459640
32,daru,-9.0763,143.2092,298.25,88,100,4.67,PG,1675459641
33,qaanaaq,77.484,-69.3632,254.46,60,35,2.94,GL,1675459456
34,soddy-daisy,35.2359,-85.1908,280.0,43,0,2.24,US,1675459636
